dia_mes;mes;año;FECHA;DIA;N° DIA;CLL_AR;Último $;Apertura $;Máximo $;Mínimo $;Vol.;% var.;Último U$D;Apertura U$D;Máximo U$D;Mínimo U$D;Vol. U$D;% var. U$D;Último XAU_USD;Apertura XAU_USD;Máximo XAU_USD;Mínimo XAU_USD;% var. XAU_USD;
26;1;2023;26.01.2023;jueves;5;369,39;7.294,00;7.266,00;7.341,00;7.116,00;8,47K;0,31%;19,69;19,68;19,73;19,40;23,62M;-0,01;1.928,99;1.946,09;1.949,27;1.918,74;-0,87%;
25;1;2023;25.01.2023;miércoles;4;365,99;7.271,50;7.000,00;7.271,50;6.911,00;5,23K;3,44%;19,79;19,26;19,83;19,22;19,33M;0,02;1.945,93;1.937,54;1.948,12;1.919,88;0,44%;
24;1;2023;24.01.2023;martes;3;360,03;7.029,50;7.005,00;7.040,00;6.859,50;7,06K;0,26%;19,42;19;19,50;18,97;19,00M;0,01;1.937,45;1.931,35;1.942,93;1.916,82;0,32%;
23;1;2023;23.01.2023;lunes;2;363,19;7.011,00;6.939,00;7.014,00;6.769,50;9,35K;2,30%;19,23;18,72;19,27;18,65;27,01M;0,01;1.931,30;1.926,20;1.935,69;1.911,44;0,25%;
20;1;2023;20.01.2023;viernes;6;360,98;6.853,50;6.734,50;6.857,00;6.654,50;19,04K;1,73%;18,97;18,61;18,98;18,52;16,54M;0,01;1.926,57;1.931,48;1.937,72;1.920,58;-0,25%;
19;1;2023;19.01.2023;jueves;5;355,41;6.737,00;6.487,50;6.737,00;6.400,00;16,39K;3,81%;18,72;18,42;18,92;18,40;17,23M;0,02;1.931,39;1.903,83;1.935,40;1.900,48;1,45%;
18;1;2023;18.01.2023;miércoles;4;351,82;6.490,00;6.800,00;6.895,00;6.420,00;13,53K;-4,33%;18,38;18,95;19,06;18,38;15,70M;-0,02;1.903,76;1.908,46;1.926,30;1.896,56;-0,24%;
17;1;2023;17.01.2023;martes;3;362,19;6.784,00;6.782,00;7.075,00;6.733,00;15,79K;-3,09%;18,75;19,42;19,46;18,67;21,39M;-0,05;1.908,39;1.917,81;1.919,83;1.903,51;-0,50%;
16;1;2023;16.01.2023;lunes;2;356,38;7.000,00;6.991,00;7.074,50;6.721,50;10,14K;0,04%;;;;;;;1.918,00;1.920,39;1.929,24;1.910,74;-0,12%;
13;1;2023;13.01.2023;viernes;6;349,26;6.997,00;6.728,00;6.997,00;6.702,50;8,98K;3,51%;19,64;19,44;19,82;19,43;16,59M;0,01;1.920,21;1.897,03;1.922,24;1.891,80;1,23%;
12;1;2023;12.01.2023;jueves;5;343,57;6.760,00;6.533,00;6.760,00;6.533,00;12,40K;5,02%;19,43;19,53;19,61;19,21;13,80M;0,01;1.896,86;1.876,43;1.901,88;1.873,64;1,09%;
11;1;2023;11.01.2023;miércoles;4;336,96;6.437,00;6.460,00;6.504,00;6.300,00;6,41K;-0,20%;19,22;19,47;19,52;18,95;14,30M;-0,01;1.876,38;1.877,30;1.887,09;1.866,75;-0,05%;
10;1;2023;10.01.2023;martes;3;331,97;6.450,00;6.400,00;6.533,00;6.232,50;7,52K;1,74%;19,39;19;19,46;18,84;16,48M;0,02;1.877,27;1.871,66;1.881,04;1.867,37;0,30%;
9;1;2023;09.01.2023;lunes;2;333,97;6.340,00;6.450,00;6.600,00;6.335,00;16,66K;-2,28%;18,97;19,22;19,37;18,96;18,26M;0,00;1.871,59;1.865,45;1.881,80;1.864,59;0,32%;
6;1;2023;06.01.2023;viernes;6;338,92;6.488,00;6.500,00;6.612,50;6.332,50;4,82K;1,27%;19,04;19,1;19,17;18,52;21,70M;0,01;1.865,71;1.833,27;1.870,37;1.830,53;1,77%;
5;1;2023;05.01.2023;jueves;5;342,16;6.406,50;6.405,00;6.436,00;6.240,00;14,27K;-0,60%;18,78;18,64;18,83;18,34;17,90M;-0,01;1.833,19;1.854,19;1.859,36;1.824,68;-1,13%;
4;1;2023;04.01.2023;miércoles;4;339,48;6.445,00;6.180,00;6.493,00;6.180,00;37,90K;5,48%;18,88;18,15;19,06;18,11;28,46M;0,06;1.854,09;1.839,51;1.865,49;1.835,92;0,79%;
3;1;2023;03.01.2023;martes;3;344,44;6.110,00;6.000,00;6.180,00;5.941,00;11,05K;1,33%;17,83;17,54;17,95;17,45;16,32M;0,04;1.839,49;1.826,14;1.850,69;1.824,42;0,87%;
2;1;2023;02.01.2023;lunes;2;344,88;6.030,00;5.895,00;6.100,00;5.832,00;1,93K;2,20%;;;;;;;1.823,69;1.823,85;1.823,94;1.823,85;-0,04%;
30;12;2022;30.12.2022;viernes;6;344,13;5.900,00;6.000,00;6.004,00;5.670,00;2,55K;-0,34%;17,18;17,31;17,33;17,04;12,82M;0,00;1.824,40;1.815,14;1.826,73;1.809,84;0,52%;
29;12;2022;29.12.2022;jueves;5;340,5;5.920,00;6.000,00;6.027,00;5.862,50;9,86K;-0,75%;17,25;17,37;17,46;17,22;8,25M;0,00;1.814,89;1.804,16;1.820,52;1.802,02;0,60%;
28;12;2022;28.12.2022;miércoles;4;346,15;5.965,00;6.000,00;6.092,00;5.918,50;13,68K;-0,25%;17,21;17,61;17,66;17,11;12,97M;-0,03;1.804,09;1.814,00;1.815,18;1.796,56;-0,54%;
27;12;2022;27.12.2022;martes;3;337,49;5.980,00;5.846,00;6.083,00;5.846,00;14,37K;3,10%;17,77;17,46;17,93;17,43;11,63M;0,02;1.813,93;1.796,67;1.833,39;1.796,20;0,91%;
26;12;2022;26.12.2022;lunes;2;334,85;5.800,00;5.824,00;5.930,00;5.650,00;2,56K;-0,34%;;;;;;;1.797,61;1.798,57;1.798,78;1.798,04;-0,02%;
23;12;2022;23.12.2022;viernes;6;333,16;5.820,00;5.753,00;5.890,00;5.733,00;3,87K;0,88%;17,39;17,33;17,50;17,09;12,80M;0,01;1.797,91;1.792,65;1.803,60;1.789,62;0,30%;
22;12;2022;22.12.2022;jueves;5;333,48;5.769,00;5.860,50;5.860,50;5.705,00;5,16K;-1,33%;17,3;17,23;17,38;16,96;16,22M;-0,01;1.792,57;1.814,20;1.821,10;1.784,11;-1,19%;
21;12;2022;21.12.2022;miércoles;4;332,95;5.847,00;5.750,00;5.899,50;5.731,00;13,44K;3,49%;17,5;17,4;17,67;17,33;20,22M;0,01;1.814,13;1.818,06;1.824,39;1.811,24;-0,18%;
20;12;2022;20.12.2022;martes;3;331,58;5.650,00;5.499,00;5.714,00;5.499,00;0,63K;2,91%;17,28;16,85;17,41;16,82;25,67M;0,04;1.817,41;1.787,49;1.821,60;1.784,21;1,68%;
19;12;2022;19.12.2022;lunes;2;332,43;5.490,00;5.630,00;5.649,50;5.467,50;9,41K;-2,37%;16,55;16,93;16,98;16,47;16,33M;-0,02;1.787,44;1.793,13;1.799,10;1.783,48;-0,27%;
16;12;2022;16.12.2022;viernes;6;332,31;5.623,50;5.500,00;5.639,00;5.499,00;8,99K;1,21%;16,9;16,64;17,06;16,56;19,72M;0,02;1.792,34;1.776,72;1.794,69;1.773,89;0,88%;
15;12;2022;15.12.2022;jueves;5;332,67;5.556,00;5.660,00;5.677,50;5.532,50;10,16K;-3,32%;16,65;16,95;17,10;16,64;19,13M;-0,04;1.776,66;1.807,40;1.809,09;1.772,00;-1,69%;
14;12;2022;14.12.2022;miércoles;4;330,13;5.747,00;5.705,00;5.848,50;5.655,00;13,75K;-1,02%;17,39;17,42;17,60;17,12;18,24M;0,00;1.807,27;1.810,49;1.814,19;1.796,07;-0,17%;
13;12;2022;13.12.2022;martes;3;333,68;5.806,00;5.662,50;5.830,00;5.662,50;12,14K;4,85%;17,44;17,44;17,64;17,15;28,27M;0,04;1.810,29;1.781,21;1.824,87;1.779,81;1,64%;
12;12;2022;12.12.2022;lunes;2;332,38;5.537,50;5.750,00;5.750,00;5.465,00;15,95K;-3,11%;16,73;16,49;16,74;16,28;19,81M;0,01;1.781,15;1.797,35;1.798,00;1.777,22;-0,86%;
9;12;2022;09.12.2022;viernes;6;338,09;;;;;;;16,58;17,03;17,20;16,58;20,65M;-0,01;1.796,63;1.789,30;1.806,45;1.787,96;0,41%;
8;12;2022;08.12.2022;jueves;5;338,09;;;;;;;16,8;17,03;17,08;16,76;16,19M;0,00;1.789,23;1.786,29;1.795,18;1.780,96;0,17%;
7;12;2022;07.12.2022;miércoles;4;338,09;5.715,00;5.675,00;5.850,00;5.660,00;7,19K;0,97%;16,86;16,58;17,11;16,55;21,13M;0,02;1.786,22;1.771,14;1.790,92;1.768,32;0,86%;
6;12;2022;06.12.2022;martes;3;340,4;5.660,00;5.479,00;5.670,00;5.479,00;11,08K;3,45%;16,45;16,76;16,91;16,35;17,14M;0,00;1.770,91;1.768,67;1.781,46;1.765,72;0,14%;
5;12;2022;05.12.2022;lunes;2;330,47;5.471,00;5.557,00;5.559,00;5.440,00;15,52K;-1,81%;16,52;16,81;16,91;16,47;20,95M;-0,03;1.768,39;1.797,92;1.810,33;1.765,32;-1,64%;
