Fecha;Día_Semana;$ Último;$ Apertura;$ Máximo;$ Mínimo;$ Vol.;$ % var.;U$D Último;U$D Apertura;U$D Máximo;U$D Mínimo;U$D Vol.;U$D % var.;Dólar CCL
24.01.2023;martes;2.922,00;2.950,00;2.970,00;2.880,50;65,75K;-1,45%;242,04;242,5;243,95;240,44;34,49M;-0,22%;360,03
23.01.2023;lunes;2.965,00;2.862,00;2.969,00;2.862,00;45,68K;2,60%;242,58;241,1;245,16;239,65;31,51M;0,98%;363,19
20.01.2023;viernes;2.890,00;2.799,00;2.900,00;2.775,00;19,01K;5,07%;240,22;234,85;240,74;234,51;35,39M;3,57%;360,98
19.01.2023;jueves;2.750,50;2.800,00;2.800,00;2.700,00;27,47K;-0,95%;231,93;233,78;235,52;230,68;28,38M;-1,65%;355,41
18.01.2023;miércoles;2.777,00;2.896,00;2.909,50;2.742,00;16,02K;-4,60%;235,81;241,57;242,38;235,52;30,03M;-1,89%;351,82
17.01.2023;martes;2.911,00;2.847,50;2.911,00;2.801,00;28,26K;2,00%;240,35;237,97;240,91;237,09;29,72M;0,47%;362,19
16.01.2023;lunes;2.854,00;2.800,00;2.884,00;2.723,00;9,16K;1,93%;;;;;;;356,38
13.01.2023;viernes;2.800,00;2.725,00;2.800,00;2.715,50;23,07K;2,08%;239,23;237;239,37;234,92;21,33M;0,30%;349,26
12.01.2023;jueves;2.743,00;2.633,50;2.744,00;2.633,50;15,84K;4,02%;238,51;235,26;239,9;233,56;27,17M;1,16%;343,57
11.01.2023;miércoles;2.637,00;2.533,50;2.637,50;2.530,00;21,74K;3,82%;235,77;231,29;235,95;231,11;28,39M;3,02%;336,96
10.01.2023;martes;2.540,00;2.501,00;2.594,00;2.500,00;17,34K;0,14%;228,85;227,76;231,31;227,33;26,87M;0,76%;331,97
09.01.2023;lunes;2.536,50;2.560,00;2.590,00;2.525,00;14,39K;-0,53%;227,12;226,45;231,24;226,41;27,04M;0,97%;333,97
06.01.2023;viernes;2.550,00;2.565,00;2.576,00;2.500,00;37,49K;-0,58%;224,93;223;225,76;219,35;43,61M;1,18%;338,92
05.01.2023;jueves;2.565,00;2.625,00;2.625,00;2.514,00;57,25K;-2,01%;222,31;227,2;227,55;221,76;39,23M;-2,96%;342,16
04.01.2023;miércoles;2.617,50;2.688,50;2.688,50;2.565,00;51,75K;-3,98%;229,1;232,27;232,87;225,96;50,28M;-4,37%;339,48
03.01.2023;martes;2.726,00;2.772,50;2.795,00;2.675,50;24,72K;-0,11%;239,58;243,08;245,75;237,4;25,68M;-0,10%;344,44
02.01.2023;lunes;2.729,00;2.750,00;2.819,50;2.700,00;3,47K;-0,22%;;;;;;;344,88
30.12.2022;viernes;2.735,00;2.744,00;2.744,00;2.611,00;5,04K;-0,07%;239,82;238,21;239,96;236,66;21,94M;-0,49%;344,13
29.12.2022;jueves;2.737,00;2.700,00;2.759,00;2.620,00;12,93K;0,77%;241,01;235,65;241,92;235,65;19,74M;2,76%;340,5
28.12.2022;miércoles;2.716,00;2.668,00;2.770,00;2.667,00;16,93K;1,91%;234,53;236,89;239,72;234,17;17,20M;-1,03%;346,15
27.12.2022;martes;2.665,00;2.800,00;2.800,00;2.654,00;23,75K;1,33%;236,96;238,7;238,93;235,83;16,42M;-0,74%;337,49
26.12.2022;lunes;2.630,00;2.620,00;2.700,00;2.551,00;5,02K;-1,61%;;;;;;;334,85
23.12.2022;viernes;2.673,00;2.644,00;2.680,00;2.605,00;15,23K;0,49%;238,73;236,11;238,87;233,94;21,21M;0,23%;333,16
22.12.2022;jueves;2.660,00;2.688,00;2.699,00;2.613,50;10,58K;-1,65%;238,19;241,26;241,99;233,87;28,62M;-2,55%;333,48
21.12.2022;miércoles;2.704,50;2.644,00;2.748,50;2.644,00;55,45K;1,48%;244,43;241,69;245,62;240,11;23,67M;1,09%;332,95
20.12.2022;martes;2.665,00;2.674,00;2.689,00;2.606,50;3,27K;-0,30%;241,8;239,4;242,91;238,42;25,08M;0,56%;331,58
19.12.2022;lunes;2.673,00;2.733,00;2.733,00;2.639,50;21,07K;-1,15%;240,45;244,86;245,21;238,71;29,63M;-1,73%;332,43
16.12.2022;viernes;2.704,00;2.758,00;2.775,50;2.683,50;18,19K;-2,24%;244,69;248,55;249,84;243,51;86,10M;-1,73%;332,31
15.12.2022;jueves;2.766,00;2.800,00;2.836,50;2.741,00;13,44K;-2,04%;249,01;253,72;254,2;247,34;35,49M;-3,19%;332,67
14.12.2022;miércoles;2.823,50;2.885,00;2.902,00;2.806,00;16,93K;-0,44%;257,22;257,13;262,59;254,31;35,41M;0,12%;330,13
13.12.2022;martes;2.836,00;2.862,50;2.937,00;2.803,00;18,20K;1,65%;256,92;261,69;263,92;253,07;42,12M;1,75%;333,68
